   8646 b	-1	1
   8409 b	-1	-1
   3331 b	1	1
   3406 b	1	-1
   4099 B	-1	1
   3943 B	-1	-1
   7605 B	1	1
   7312 B	1	-1
   3793 b	-2	2
   3773 b	-2	-2
   1123 b	2	2
   1128 b	2	-2
   1472 B	-2	2
   1349 B	-2	-2
   4943 B	2	2
   4639 B	2	-2
   2005 b	-3	3
   2212 b	-3	-3
    411 b	3	3
    532 b	3	-3
    499 B	-3	3
    465 B	-3	-3
   2501 B	3	3
   2454 B	3	-3
   1463 b	-4	4
   1462 b	-4	-4
    122 b	4	4
    160 b	4	-4
    140 B	-4	4
    183 B	-4	-4
   1307 B	4	4
   2084 B	4	-4
    197 b	-5	5
    268 b	-5	-5
     22 b	5	5
     43 b	5	-5
     40 B	-5	5
     36 B	-5	-5
    201 B	5	5
    282 B	5	-5
     25 b	-6	6
      9 b	-6	-6
      2 b	6	6
      7 b	6	-6
      1 B	-6	6
     10 B	-6	-6
     15 B	6	6
      6 B	6	-6
      2 B	7	-7
   4815 k	0	1
   3633 k	0	-1
   4635 K	0	1
   3607 K	0	-1
    472 k	0	2
   5673 k	0	-2
    739 K	0	2
   5723 K	0	-2
   4702 k	-1	0
   1712 k	1	0
   1610 K	-1	0
   4481 K	1	0
   5424 k	-1	1
   3778 k	-1	-1
   2307 k	1	1
   1666 k	1	-1
   2176 K	-1	1
   1589 K	-1	-1
   5398 K	1	1
   3659 K	1	-1
   6849 n	-1	2
   8528 n	-1	-2
   3800 n	1	2
   3741 n	1	-2
   3444 N	-1	2
   3784 N	-1	-2
   7011 N	1	2
   7463 N	1	-2
  12955 n	-2	1
  10297 n	-2	-1
   2384 n	2	1
   2084 n	2	-1
   2215 N	-2	1
   2205 N	-2	-1
  13318 N	2	1
  11518 N	2	-1
  40691 p	-1	0
  36039 P	1	0
   7995 p	-1	1
   9768 p	-1	-1
   7679 P	1	1
   8793 P	1	-1
  17515 p	-2	0
  23106 P	2	0
   1836 q	0	1
   1925 q	0	-1
   1742 Q	0	1
   2012 Q	0	-1
    977 q	0	2
   1206 q	0	-2
    984 Q	0	2
   1254 Q	0	-2
    520 q	0	3
    568 q	0	-3
    501 Q	0	3
    582 Q	0	-3
    210 q	0	4
    306 q	0	-4
    204 Q	0	4
    298 Q	0	-4
     89 q	0	5
    134 q	0	-5
     86 Q	0	5
    100 Q	0	-5
     34 q	0	6
     40 q	0	-6
     28 Q	0	6
     49 Q	0	-6
     10 q	0	7
     38 q	0	-7
     18 Q	0	7
     21 Q	0	-7
   2643 q	-1	0
   1354 q	1	0
   1306 Q	-1	0
   3249 Q	1	0
   3013 q	-1	1
   2773 q	-1	-1
   1368 q	1	1
   1732 q	1	-1
   1415 Q	-1	1
   1542 Q	-1	-1
   2663 Q	1	1
   2936 Q	1	-1
   1385 q	-2	0
    558 q	2	0
    667 Q	-2	0
   1762 Q	2	0
   1865 q	-2	2
   1729 q	-2	-2
    532 q	2	2
    739 q	2	-2
    572 Q	-2	2
    643 Q	-2	-2
   1637 Q	2	2
   1885 Q	2	-2
   1168 q	-3	0
    333 q	3	0
    300 Q	-3	0
   1126 Q	3	0
   1032 q	-3	3
    841 q	-3	-3
    240 q	3	3
    357 q	3	-3
    253 Q	-3	3
    301 Q	-3	-3
    847 Q	3	3
    816 Q	3	-3
    497 q	-4	0
    173 q	4	0
    171 Q	-4	0
    515 Q	4	0
    184 q	-4	4
    408 q	-4	-4
     97 q	4	4
    128 q	4	-4
     87 Q	-4	4
    110 Q	-4	-4
    216 Q	4	4
    411 Q	4	-4
    241 q	-5	0
     80 q	5	0
     96 Q	-5	0
    261 Q	5	0
     51 q	-5	5
     63 q	-5	-5
     17 q	5	5
     40 q	5	-5
     21 Q	-5	5
     31 Q	-5	-5
     60 Q	5	5
     59 Q	5	-5
    116 q	-6	0
     39 q	6	0
     45 Q	-6	0
    132 Q	6	0
     11 q	-6	6
      8 q	-6	-6
      4 q	6	6
     10 q	6	-6
      5 Q	-6	6
      8 Q	-6	-6
      7 Q	6	6
      6 Q	6	-6
    122 q	-7	0
     16 q	7	0
     17 Q	-7	0
    141 Q	7	0
      1 q	-7	7
      1 Q	-7	7
      1 Q	-7	-7
   5650 r	0	1
   4887 r	0	-1
   6025 R	0	1
   4748 R	0	-1
   3294 r	0	2
   3975 r	0	-2
   3525 R	0	2
   3804 R	0	-2
   1778 r	0	3
   2470 r	0	-3
   1851 R	0	3
   2711 R	0	-3
   1026 r	0	4
   1312 r	0	-4
    945 R	0	4
   1480 R	0	-4
    481 r	0	5
    670 r	0	-5
    461 R	0	5
    644 R	0	-5
    208 r	0	6
    273 r	0	-6
    223 R	0	6
    291 R	0	-6
     89 r	0	7
    134 r	0	-7
     79 R	0	7
    132 R	0	-7
   4798 r	-1	0
   2195 r	1	0
   2102 R	-1	0
   4651 R	1	0
   2937 r	-2	0
   1120 r	2	0
   1192 R	-2	0
   3189 R	2	0
   2154 r	-3	0
    681 r	3	0
    644 R	-3	0
   2229 R	3	0
   1757 r	-4	0
    427 r	4	0
    424 R	-4	0
   1732 R	4	0
   1228 r	-5	0
    242 r	5	0
    237 R	-5	0
   1346 R	5	0
   1213 r	-6	0
    129 r	6	0
    128 R	-6	0
   1253 R	6	0
   1052 r	-7	0
     47 r	7	0
     36 R	-7	0
   1075 R	7	0
